"chillin" with score: 741                         Players: [Draco has 1 cities score = 741]
"check please" with score: 15376                  Players: [LoganCasteel has 7 cities score = 15376]
"NoSTress" with score: 13940                      Players: [coeurdelyon has 4 cities score = 10401, Slanecha has 4 cities score = 3539]
"The Royal Empire" with score: 6831               Players: [BernardoGui has 2 cities score = 2963, Vorkosigan has 2 cities score = 1935, Hiimbrett117 has 1 cities score = 1933]
"Szövetség" with score: 53857                   Players: [abufes has 9 cities score = 53857]
"Cupid Stunt" with score: 4647                    Players: [Lorne has 3 cities score = 4647]
"Dirty Mastiff Cartel" with score: 65947433       Players: [Figgis has 98 cities score = 785885, Jadiepoo has 78 cities score = 524397, UberTitan has 116 cities score = 757078, ice1972 has 61 cities score = 379989, tlgger has 73 cities score = 549054, Marine has 117 cities score = 934206, Vertuhcle has 50 cities score = 440417, Holby has 50 cities score = 336375, JoZara has 36 cities score = 143715, Foxthorn has 150 cities score = 1169591, RodrigoFac has 58 cities score = 380751, GarryGers has 47 cities score = 237233, Gheric has 23 cities score = 183271, FictionsFate has 53 cities score = 420545, Arianna has 147 cities score = 1013892, Falther has 45 cities score = 314335, Fuzzle has 124 cities score = 1174517, Treeluva has 89 cities score = 610624, Davicof has 81 cities score = 508785, Clyde123 has 58 cities score = 452775, gombal31 has 184 cities score = 1346914, acegolfer has 230 cities score = 1460348, Gimmli has 125 cities score = 1015509, Filly has 14 cities score = 42811, MaySea has 75 cities score = 527208, BarbiBimbo has 129 cities score = 741599, Zagmar has 52 cities score = 348402, RayCurzon has 108 cities score = 694742, MonkeySuit has 27 cities score = 96756, Legenda0333 has 72 cities score = 321605, Lynessa has 37 cities score = 232121, soflangata has 41 cities score = 239055, Star has 97 cities score = 733492, Jeebys has 164 cities score = 1230590, Tweety has 61 cities score = 378932, IceStorm has 137 cities score = 1132675, wickedevil has 184 cities score = 1406076, Daisan has 167 cities score = 1278062, slave2none has 96 cities score = 743435, Gronk180 has 28 cities score = 220877, TheDo has 68 cities score = 367290, Vorvon has 88 cities score = 526075, purespd has 128 cities score = 1028341, WarLordNBK has 17 cities score = 114366, Spaticus has 134 cities score = 750874, KonsTrubble has 34 cities score = 245458, Twisted has 15 cities score = 87338, jolites has 121 cities score = 964893, Jenine has 67 cities score = 399219, Ghostwheel22 has 40 cities score = 266926, phelony has 102 cities score = 893375, Warjunkie has 167 cities score = 1197361, JoeBags has 104 cities score = 770362, Osbourne has 55 cities score = 319808, Gremlim has 111 cities score = 861638, Bleb has 107 cities score = 751391, Titanium has 23 cities score = 169453, Proxy49 has 90 cities score = 635786, Truedat has 146 cities score = 1074590, Mythdes has 160 cities score = 1237622, Dominator16 has 90 cities score = 419795, Aindreas has 70 cities score = 446314, Swandog has 112 cities score = 719283, mde has 92 cities score = 560840, Tulley has 80 cities score = 524949, Tvader has 71 cities score = 451194, SirBean has 132 cities score = 987249, Deuce has 131 cities score = 896468, Thanaton has 23 cities score = 136938, princessdot has 89 cities score = 685095, CohibAA has 48 cities score = 379283, teemingjoker has 151 cities score = 1198180, Barbiedoll has 64 cities score = 424204, MoosePowers has 66 cities score = 463002, scruloose has 103 cities score = 555596, Chosen has 82 cities score = 618396, Technomages has 51 cities score = 190239, Lordalcamp has 108 cities score = 988962, Henndogg has 45 cities score = 291462, edahlbeck has 250 cities score = 1942542, MsWickedevil has 27 cities score = 146910, Greystone has 108 cities score = 772236, KristinaNo1 has 92 cities score = 529874, 2ofSwords has 53 cities score = 307414, JonSnow has 28 cities score = 233469, Ivain has 144 cities score = 1108391, Tremor has 129 cities score = 844795, Ezra has 71 cities score = 497645, SuburbanDad has 101 cities score = 684259, Avatar has 379 cities score = 2269499, PBnJSamich has 61 cities score = 386932, Fozziebear2 has 193 cities score = 1392799, GenPatton has 68 cities score = 414862, ReddSulla has 55 cities score = 399191, arrozinho has 138 cities score = 1115740, Chantille has 60 cities score = 445144, Poltergeist has 94 cities score = 799911, Aethean has 66 cities score = 419567, Grakas has 64 cities score = 371302, Gorilla has 164 cities score = 1526256, Vinicio has 29 cities score = 230436]
"paz y amor" with score: 34757                    Players: [Favila has 8 cities score = 34757]
"The Pungent Goats" with score: 2475              Players: [Svalin has 2 cities score = 2475]
"BIG ALLIANCE" with score: 2917                   Players: [Calif has 1 cities score = 2917]
"just for fun" with score: 8248                   Players: [algo33 has 4 cities score = 8248]
"Undecided" with score: 2083                      Players: [pekola has 1 cities score = 2083]
"The ARK" with score: 466645                      Players: [Krash has 43 cities score = 338393, Daffy has 17 cities score = 118765, Reaper1225 has 3 cities score = 9487]
"do you love me" with score: 46478                Players: [Fonzi has 1 cities score = 148, Ulysse has 1 cities score = 2565, kela has 10 cities score = 43672, remudada has 1 cities score = 93]
"Elite del Kaos" with score: 49900                Players: [LETRA has 10 cities score = 49900]
"Cyber Security Class" with score: 838            Players: [Weezdog123 has 1 cities score = 331, Youngblood13 has 1 cities score = 507]
"fire in the hole" with score: 1642               Players: [samokythe1st has 1 cities score = 1642]
"Horizon ( W10 )" with score: 281327              Players: [Jette has 16 cities score = 73338, xEmiraldax has 7 cities score = 33898, Jeveron has 8 cities score = 25164, Hammerway has 17 cities score = 126654, Chilali has 5 cities score = 20534, Cysticus has 1 cities score = 1739]
"Arrows & Guards" with score: 5892079             Players: [Chorum has 6 cities score = 45513, mommywith2 has 13 cities score = 71083, brutalizer has 7 cities score = 27303, Endymion has 23 cities score = 177592, EdDog has 12 cities score = 45527, whackamole has 14 cities score = 38848, bintan has 11 cities score = 37479, flashman has 11 cities score = 55671, xendor has 3 cities score = 10582, YanKiller has 1 cities score = 1668, rut has 22 cities score = 131447, DESTROOO1 has 24 cities score = 112895, Rome has 1 cities score = 1981, ElooImMe has 10 cities score = 19502, Lord5Death has 15 cities score = 110458, mammon has 3 cities score = 12553, Wetpaperbag has 9 cities score = 60791, sawman has 3 cities score = 11639, RRV55 has 1 cities score = 1805, Hissjon has 14 cities score = 74009, hyrt has 28 cities score = 211190, Gill has 11 cities score = 69331, Bardini has 5 cities score = 29648, JOL has 9 cities score = 41420, laokoon has 3 cities score = 8428, mirtle has 5 cities score = 26671, DustAvalon has 7 cities score = 24835, shugo has 67 cities score = 377867, TrollGralson has 15 cities score = 77035, espablon has 7 cities score = 21278, Aravir has 17 cities score = 137399, cosmos20 has 4 cities score = 8187, BARBEROUSSE has 12 cities score = 70763, Barricade has 3 cities score = 18094, miller has 13 cities score = 85008, Tenenbaum has 9 cities score = 39538, TheArrow has 21 cities score = 150911, Kamilko47 has 5 cities score = 14740, Drumslam has 23 cities score = 99792, killroy5555 has 13 cities score = 89549, anika has 1 cities score = 3072, Showaddy has 5 cities score = 14710, AllFons has 12 cities score = 87786, Aristomache has 29 cities score = 187550, beninya has 41 cities score = 364297, FeelgoodMD has 36 cities score = 273898, CrownReiver has 3 cities score = 4358, Arquister has 2 cities score = 7710, anikita has 1 cities score = 1863, thealexbeast has 12 cities score = 86772, Tales580 has 1 cities score = 1418, SporiPingvin has 26 cities score = 196282, 3535 has 14 cities score = 108628, Pain has 14 cities score = 104365, Hamilton has 8 cities score = 35322, wychwooder has 21 cities score = 150529, WhiteDave has 15 cities score = 91032, nadalDA has 10 cities score = 61766, pascaline has 3 cities score = 12946, Invisiknight has 17 cities score = 118199, Hallcon has 9 cities score = 44317, Bettycrocker has 27 cities score = 195238, Matherion has 15 cities score = 101126, sithlord71 has 15 cities score = 95911, BIGGNUTTS has 27 cities score = 122779, MadBeardMan has 5 cities score = 23620, Thepuma has 2 cities score = 5330, Oddball has 43 cities score = 250457, J0N4 has 30 cities score = 137543, SuperstudlyB has 8 cities score = 57971, Rog94 has 7 cities score = 27839, Milkweed94 has 7 cities score = 36599, LordGTO has 5 cities score = 6233, HellssBells has 9 cities score = 61260, GREMBAR has 8 cities score = 51501, Anthimox has 6 cities score = 22525, archer49 has 5 cities score = 27564, goatlover has 6 cities score = 37078, Relegatus has 4 cities score = 24655]
"dq squad 2" with score: 7367                     Players: [WarlLord198 has 1 cities score = 894, titus30 has 1 cities score = 397, dakotaryan has 1 cities score = 123, Tora4406 has 1 cities score = 1153, ericj has 3 cities score = 4800]
"Axis 17" with score: 1464428                     Players: [Lanera has 9 cities score = 27168, Ginkatsune has 3 cities score = 17891, Pipera has 3 cities score = 6576, lolie has 4 cities score = 10145, KyojinSuta has 11 cities score = 39110, Schnucki666 has 7 cities score = 49054, DJHurricane has 1 cities score = 482, Killerbraut has 6 cities score = 19226, XLord has 8 cities score = 44968, DirtyBytch has 3 cities score = 4491, LordGrizzly has 8 cities score = 30082, Rivta has 8 cities score = 28521, TBHV has 11 cities score = 61190, Rogozek78 has 11 cities score = 89115, femina has 8 cities score = 55083, Kobra232 has 1 cities score = 1916, torreds has 50 cities score = 321228, knives2021 has 7 cities score = 24898, Bikelord has 16 cities score = 58494, Rittarius has 7 cities score = 37727, CptObvious has 1 cities score = 1392, Die_Steffi has 5 cities score = 13286, Sylverfox has 7 cities score = 33963, mattmaik has 12 cities score = 54468, winijmwm has 8 cities score = 35666, stevemax has 2 cities score = 2985, Blasehase69 has 3 cities score = 3546, KalleKGB has 8 cities score = 42830, SwedishNick has 6 cities score = 32997, Teamspeaker has 31 cities score = 223532, 935k3 has 6 cities score = 38624, softmelons has 8 cities score = 51189, Majunii has 1 cities score = 652, drivefly has 1 cities score = 1933]
"Swamp Donkeys" with score: 207255                Players: [NigglyWiggly has 8 cities score = 36122, LoUcifer has 3 cities score = 22586, mlescaudron has 3 cities score = 13407, Amper has 4 cities score = 10364, LordSnoman has 4 cities score = 11258, unkindness has 7 cities score = 37868, Churchill has 7 cities score = 17886, Smurf has 7 cities score = 37536, Azoloth has 5 cities score = 20228]
"HellSpawn" with score: 8968070                   Players: [Beauty has 50 cities score = 359521, Sideburns has 7 cities score = 33145, Brianz has 39 cities score = 193966, DJFrench has 7 cities score = 53901, Vondemon has 38 cities score = 237614, majmajor has 8 cities score = 44513, dragonjac has 45 cities score = 279537, Vootie has 79 cities score = 456042, Donn has 11 cities score = 48294, Gitcha has 14 cities score = 88272, verhexen has 29 cities score = 159055, SassyGirl has 62 cities score = 360785, XSPARTAN68X has 5 cities score = 23896, sfalon has 47 cities score = 358180, Johan has 46 cities score = 257024, iBlack has 76 cities score = 357993, ToledoLurch has 12 cities score = 53240, SirCanada has 70 cities score = 413974, Peppers has 52 cities score = 334900, Mimzy has 10 cities score = 58728, LordDog has 28 cities score = 172933, Tiadre has 34 cities score = 224125, Meager has 84 cities score = 370155, SanneTfiwS has 48 cities score = 241536, DrHavock has 28 cities score = 151358, MrP has 38 cities score = 285951, BombaySapper has 37 cities score = 158414, Nenning has 22 cities score = 147266, WatchmanCole has 18 cities score = 103202, QueenKristen has 30 cities score = 192856, Tyrant has 22 cities score = 108780, Stumar has 69 cities score = 498720, Gloin has 15 cities score = 50151, Octavius has 9 cities score = 33601, DMCorp has 46 cities score = 249480, Yugosplat has 44 cities score = 280379, Hanus has 28 cities score = 196352, geaux has 23 cities score = 164743, Waterwefa has 86 cities score = 549507, Rowdym has 54 cities score = 329715, Endy has 37 cities score = 286266]
"Cancellation Button" with score: 8036            Players: [Kahlious has 3 cities score = 8036]
"Truck Driver" with score: 92                     Players: [HornyDragon has 1 cities score = 92]
"ComingBack" with score: 42517                    Players: [PrincessDeb has 11 cities score = 42517]
"Screaming Goats" with score: 1522                Players: [Xivion has 1 cities score = 1522]
"KeeponPimpin" with score: 4822                   Players: [KcampSmith has 1 cities score = 658, letmeplaypls has 1 cities score = 1200, ZZGRIZZLY has 1 cities score = 165, snickers00 has 1 cities score = 64, PastaPete has 2 cities score = 1586, Tadams07 has 1 cities score = 132, Torifloyd155 has 1 cities score = 70, GreatGamer11 has 1 cities score = 947]
"Fashion Police" with score: 2406                 Players: [WiltingWlkns has 1 cities score = 279, quannam has 1 cities score = 1564, TheTable has 1 cities score = 563]
"the needed" with score: 699                      Players: [GREATSHANE has 1 cities score = 227, jaciss has 1 cities score = 472]
"Allied Insects" with score: 420                  Players: [anteron has 1 cities score = 420]
"Paradigma" with score: 1709                      Players: [Trylun has 2 cities score = 1709]
"Odins Chosen" with score: 76209                  Players: [LordObolus has 10 cities score = 76209]
"Lord Of Ultima" with score: 2599                 Players: [Ghoul has 2 cities score = 2599]
"Zerks On Opium" with score: 344                  Players: [LordDore has 1 cities score = 344]
"red knights" with score: 7993                    Players: [parmer has 2 cities score = 7993]
"Squeal Coders" with score: 1085                  Players: [Porkulon has 1 cities score = 1085]
"ram rebels" with score: 166                      Players: [Rusty has 1 cities score = 166]
"House Cuthbertson" with score: 16419             Players: [Korath86 has 5 cities score = 16419]
"Crozz is here again" with score: 5606            Players: [Crozz has 3 cities score = 5606]
"Tribe of Foxes" with score: 6174                 Players: [Jaiski has 2 cities score = 5335, Colesman has 1 cities score = 839]
"The_Axis" with score: 978                        Players: [Dendrach has 1 cities score = 978]
